id,predicted_churn_risk,risk_tier,behavioral_state,behavioral_evidence,recent_deterioration_count,persistent_deterioration_count,coordinated_deterioration_count,value_tier,arpu_8,retention_priority,candidate_action,decision_rationale,churn_probability
33785,0.0010827262042809342,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,1,1,4,Highest,1115.885,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
62959,0.018917600659238296,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Moderate,95.694,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
41388,0.12041321556723564,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,1,4,Lower,23.95,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
9276,0.016992235958658477,High,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,4,1,3,Lower,58.949,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
61256,0.8175891354226716,Very High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,5,1,4,Lower,0.0,Priority 2,Broad Recent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
16502,0.05109205282676119,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Moderate,190.94,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
63135,0.005148424909705186,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Highest,693.091,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
65219,0.03444525166119967,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 4/5 behavioural metrics declined across the observed period,1,0,4,Lower,82.786,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
5600,0.013973290695378428,High,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,2,1,1,Highest,444.937,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
21808,0.0069503534039620845,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,2,0,2,Lower,49.688,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
67764,0.1727341012376258,Very High,Stable / Limited Deterioration,4/5 behavioural metrics declined across the observed period,0,0,4,Higher,213.808,Priority 1,General Retention Review,Very High churn risk with Higher/Highest relative customer value.,0
7404,0.0067207017793784974,Moderate,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,1210.123,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
58638,0.0017726008342457862,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,1,4,Moderate,106.58,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
13639,0.002555150723254967,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Higher,211.388,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
12877,0.1530572224924571,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,2,5,Higher,369.065,Priority 1,Persistent Deterioration Review,Very High churn risk with Higher/Highest relative customer value.,1
38022,0.006014259513046428,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Lower,54.814,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
694,0.8581359314339476,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Lower,41.0,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,1
66318,0.0047443439552239935,Moderate,Recent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,4,0,3,Lower,51.044,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
55060,0.15745758659476777,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
34504,0.10476139491616772,Very High,Severe Persistent Deterioration,4/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,4,5,Lower,7.3,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
67103,0.014173324738589536,High,Stable / Limited Deterioration,5/5 behavioural metrics declined across the observed period,0,0,5,Moderate,194.432,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
50864,0.009390444204772079,High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,1,5,Lower,80.832,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
41803,0.017883318867023684,High,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,2,1,1,Moderate,169.263,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
53077,0.014981527683674356,High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Highest,470.994,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
58252,0.00044899567716942806,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Higher,225.308,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
1544,0.03425670469361449,High,Recent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,3,0,2,Lower,23.175,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
19354,0.002450311559607738,Low,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,4,2,3,Moderate,130.606,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
8935,0.007662876755961542,Moderate,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,443.348,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
49542,0.0007605316614979079,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Higher,227.069,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
15390,0.04860074937392077,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,3,0,2,Higher,236.195,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
6092,0.010486271552146603,High,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,4,0,1,Moderate,131.814,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
25577,0.0009844844954069126,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Highest,559.355,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
29514,0.03216547858195326,High,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Highest,464.858,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
3053,0.05655398214713807,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Lower,58.66,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
64442,0.007385061501979973,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,2,1,3,Moderate,111.754,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
53687,0.0011691234600620895,Low,Recent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,4,0,2,Moderate,157.679,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
13803,0.24141590130070598,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,25.88,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
34600,0.014796564381261191,High,Stable / Limited Deterioration,5/5 behavioural metrics declined across the observed period,0,0,5,Higher,347.899,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
54543,0.004472258848036002,Moderate,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Highest,449.262,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
67849,0.0008159727537590013,Low,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,5,1,2,Highest,517.113,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
63996,0.003153294139285448,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Moderate,114.571,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
38729,0.0018345847983447143,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Highest,517.484,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
21227,0.049204067860733974,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Moderate,172.913,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
16553,0.002035992984307319,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,1,0,2,Higher,277.466,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
49390,0.3989159899274705,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Lower,76.835,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
61662,0.0007780406919904989,Low,Recent Deterioration,5/5 behavioural metrics declined recently,5,0,0,Higher,267.005,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
21185,0.0011572022905481955,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,3,0,2,Highest,443.16,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
62536,0.01445202833279994,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Higher,317.711,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
66221,0.005859246973570736,Moderate,Stable / Limited Deterioration,3/5 behavioural metrics declined across the observed period,0,0,3,Highest,479.437,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
47884,0.8789608014079509,Very High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,1,5,Lower,-5.0,Priority 2,Broad Recent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
25251,0.0002454229518014989,Low,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,2,2,2,Higher,260.117,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
6328,0.00074758301159013,Low,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,628.552,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
27594,0.3918070970306208,Very High,Recent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,4,0,3,Lower,1.76,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
55745,0.0022922122468439954,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Higher,288.379,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
41621,0.0018112898457922876,Low,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,1437.823,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
59000,0.0005826007965535535,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,442.002,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
64947,0.0030217704919829357,Low,Severe Persistent Deterioration,4/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,4,5,Higher,252.138,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
39828,0.0072069830116544675,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,1,0,3,Moderate,93.588,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
67127,0.7767055727206396,Very High,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,2,2,3,Lower,52.113,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
4025,0.0038964485774155783,Moderate,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Higher,305.28,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
34164,0.08279781935808375,Very High,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,2,1,3,Highest,1099.35,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,1
40796,0.424361876763292,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Lower,9.423,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
63925,0.07543638851340105,Very High,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,5,1,1,Lower,36.715,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
31814,0.0017321580100614954,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,2,1,2,Higher,208.722,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
42323,0.6737846241952049,Very High,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,2,2,5,Lower,22.72,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
55992,0.022403166693821114,High,Stable / Limited Deterioration,4/5 behavioural metrics declined across the observed period,0,0,4,Highest,410.26,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
11775,0.03600519521708332,Very High,Recent Broad Deterioration,4/5 behavioural metrics declined recently; 5/5 behavioural metrics declined across the observed period,4,0,5,Highest,410.102,Priority 1,Broad Recent Deterioration Review,Very High churn risk with Higher/Highest relative customer value.,0
23176,0.0025872262415238866,Low,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,498.349,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
17121,0.0012008749341867093,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,1,0,2,Highest,395.457,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
10400,0.00451235519448853,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,2,0,2,Highest,668.33,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
39255,0.1015444922286437,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,1,5,Lower,69.649,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
13218,0.021147021220125503,High,Recent Broad Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,1,4,Moderate,142.074,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,1
45878,0.0011153535787282569,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,1,0,2,Higher,292.898,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
18572,0.014804105558761195,High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,5,1,4,Moderate,121.241,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
9135,0.011857576671077173,High,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Higher,275.853,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
5909,0.010388471146443765,High,Stable / Limited Deterioration,4/5 behavioural metrics declined across the observed period,0,0,4,Highest,495.916,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
6392,0.0013758257225228569,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Higher,304.278,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
2877,0.0018182161391061757,Low,Stable / Limited Deterioration,3/5 behavioural metrics declined across the observed period,0,0,3,Highest,2290.142,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
38252,0.003487388512038208,Moderate,Recent Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,4,1,2,Highest,408.822,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
34329,0.0013902599746288629,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Higher,214.0,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
12291,0.022532938216395952,High,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Higher,233.058,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
27239,0.0008804992952208446,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Higher,314.582,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
30763,0.0012091402176071591,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,3,0,3,Highest,416.466,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
31749,0.003659899493032253,Moderate,Persistent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,3,5,Higher,274.899,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
62087,0.0032871493161211285,Moderate,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Higher,273.764,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
53793,0.019370522246738735,High,Recent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,5,0,3,Lower,58.753,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
68708,0.9846978801110208,Very High,Stable / Limited Deterioration,3/5 behavioural metrics declined across the observed period,0,0,3,Lower,0.0,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,1
